sequence_id,segment_id,start_timestamp,end_timestamp,start_event_id,end_event_id,event_count,lstm_malicious_probability,lstm_prediction,lstm_prediction_label,lstm_threshold
58,scored_log,1778300135.655000,1778300135.703000,9278,9327,50,0.00011367979,0,benign,0.5
59,scored_log,1778300135.665000,1778300135.710000,9288,9337,50,0.00024502465,0,benign,0.5
60,scored_log,1778300135.677000,1778300138.281000,9298,9347,50,0.10179797,0,benign,0.5
61,scored_log,1778300135.684000,1778300138.288000,9308,9357,50,0.80988497,1,malicious,0.5
62,scored_log,1778300135.696000,1778300138.294000,9318,9367,50,0.5557873,1,malicious,0.5
63,scored_log,1778300135.703000,1778300138.298000,9328,9377,50,0.5104958,1,malicious,0.5
64,scored_log,1778300135.714000,1778300138.299000,9338,9387,50,0.013368663,0,benign,0.5
65,scored_log,1778300138.281000,1778300138.300000,9348,9397,50,0.008842857,0,benign,0.5
66,scored_log,1778300138.290000,1778300138.308000,9358,9407,50,0.008138747,0,benign,0.5
67,scored_log,1778300138.294000,1778300138.308000,9368,9417,50,0.008640975,0,benign,0.5
68,scored_log,1778300138.299000,1778300138.311000,9378,9427,50,0.0076860404,0,benign,0.5
69,scored_log,1778300138.299000,1778300138.316000,9388,9437,50,0.010326179,0,benign,0.5
70,scored_log,1778300138.300000,1778300138.316000,9398,9447,50,0.013388062,0,benign,0.5
71,scored_log,1778300138.308000,1778300138.318000,9408,9457,50,0.01881114,0,benign,0.5
72,scored_log,1778300138.308000,1778300138.326000,9418,9467,50,0.0028566672,0,benign,0.5
73,scored_log,1778300138.311000,1778300138.332000,9428,9477,50,0.0013140172,0,benign,0.5
74,scored_log,1778300138.316000,1778300138.336000,9438,9487,50,0.0007263276,0,benign,0.5
75,scored_log,1778300138.316000,1778300138.338000,9448,9497,50,0.0007818744,0,benign,0.5
76,scored_log,1778300138.318000,1778300138.340000,9458,9507,50,0.00068245764,0,benign,0.5
77,scored_log,1778300138.328000,1778300138.345000,9468,9517,50,0.0008752754,0,benign,0.5
78,scored_log,1778300138.332000,1778300138.351000,9478,9527,50,0.0011574831,0,benign,0.5
79,scored_log,1778300138.337000,1778300138.355000,9488,9537,50,0.0010787304,0,benign,0.5
80,scored_log,1778300138.338000,1778300138.357000,9498,9547,50,0.0008492464,0,benign,0.5
81,scored_log,1778300138.340000,1778300138.359000,9508,9557,50,0.0007803121,0,benign,0.5
82,scored_log,1778300138.346000,1778300140.373000,9518,9567,50,0.004863211,0,benign,0.5
83,scored_log,1778300138.351000,1778300140.373000,9528,9577,50,0.008456191,0,benign,0.5
84,scored_log,1778300138.355000,1778300140.374000,9538,9587,50,0.009169501,0,benign,0.5
85,scored_log,1778300138.357000,1778300140.382000,9548,9597,50,0.0005662318,0,benign,0.5
86,scored_log,1778300138.359000,1778300140.397000,9558,9607,50,0.0002913709,0,benign,0.5
87,scored_log,1778300140.373000,1778300143.414000,9568,9617,50,0.008656708,0,benign,0.5
88,scored_log,1778300140.373000,1778300143.414000,9578,9627,50,0.009132224,0,benign,0.5
89,scored_log,1778300140.374000,1778300143.416000,9588,9637,50,0.010173642,0,benign,0.5
90,scored_log,1778300140.382000,1778300143.421000,9598,9647,50,0.006983195,0,benign,0.5
91,scored_log,1778300140.398000,1778300143.432000,9608,9657,50,0.00046204892,0,benign,0.5
92,scored_log,1778300143.414000,1778300146.437000,9618,9667,50,0.008271641,0,benign,0.5
93,scored_log,1778300143.414000,1778300146.438000,9628,9677,50,0.009063453,0,benign,0.5
94,scored_log,1778300143.416000,1778300146.439000,9638,9687,50,0.009928166,0,benign,0.5
95,scored_log,1778300143.422000,1778300146.444000,9648,9697,50,0.00079335365,0,benign,0.5
96,scored_log,1778300143.432000,1778300149.455000,9658,9707,50,0.0007974907,0,benign,0.5
97,scored_log,1778300146.437000,1778300149.456000,9668,9717,50,0.009172764,0,benign,0.5
98,scored_log,1778300146.438000,1778300149.456000,9678,9727,50,0.009958034,0,benign,0.5
99,scored_log,1778300146.439000,1778300149.459000,9688,9737,50,0.0008888913,0,benign,0.5
100,scored_log,1778300146.447000,1778300149.614000,9698,9747,50,0.0055272775,0,benign,0.5
101,scored_log,1778300149.456000,1778300152.753000,9708,9757,50,0.00033028872,0,benign,0.5
102,scored_log,1778300149.456000,1778300152.755000,9718,9767,50,0.009803168,0,benign,0.5
103,scored_log,1778300149.456000,1778300152.755000,9728,9777,50,0.010314456,0,benign,0.5
104,scored_log,1778300149.464000,1778300152.757000,9738,9787,50,0.0010412178,0,benign,0.5
105,scored_log,1778300149.616000,1778300152.876000,9748,9797,50,0.007560797,0,benign,0.5
106,scored_log,1778300152.754000,1778300158.004000,9758,9807,50,0.0014932922,0,benign,0.5
107,scored_log,1778300152.755000,1778300158.005000,9768,9817,50,0.011237968,0,benign,0.5
108,scored_log,1778300152.755000,1778300158.005000,9778,9827,50,0.011511784,0,benign,0.5
109,scored_log,1778300152.759000,1778300158.008000,9788,9837,50,0.0016008316,0,benign,0.5
110,scored_log,1778300152.876000,1778300158.014000,9798,9847,50,0.0018960275,0,benign,0.5
111,scored_log,1778300158.005000,1778300161.018000,9808,9857,50,0.011006619,0,benign,0.5
112,scored_log,1778300158.005000,1778300161.018000,9818,9867,50,0.012319414,0,benign,0.5
113,scored_log,1778300158.005000,1778300161.020000,9828,9877,50,0.012258838,0,benign,0.5
114,scored_log,1778300158.009000,1778300161.063000,9838,9887,50,0.0012686163,0,benign,0.5
115,scored_log,1778300158.014000,1778300162.158000,9848,9897,50,0.00086349796,0,benign,0.5
116,scored_log,1778300161.018000,1778300162.256000,9858,9907,50,0.00039685224,0,benign,0.5
117,scored_log,1778300161.018000,1778300165.260000,9868,9917,50,0.008872609,0,benign,0.5
118,scored_log,1778300161.020000,1778300165.260000,9878,9927,50,0.01065429,0,benign,0.5
119,scored_log,1778300161.063000,1778300165.262000,9888,9937,50,0.0025772708,0,benign,0.5
120,scored_log,1778300162.158000,1778300165.268000,9898,9947,50,0.00021844129,0,benign,0.5
121,scored_log,1778300165.258000,1778300168.292000,9908,9957,50,0.004264167,0,benign,0.5
122,scored_log,1778300165.260000,1778300170.299000,9918,9967,50,0.010183914,0,benign,0.5
123,scored_log,1778300165.260000,1778300170.299000,9928,9977,50,0.010623443,0,benign,0.5
124,scored_log,1778300165.263000,1778300170.300000,9938,9987,50,0.013906354,0,benign,0.5
125,scored_log,1778300165.270000,1778300170.307000,9948,9997,50,0.0008578532,0,benign,0.5
126,scored_log,1778300168.295000,1778300170.314000,9958,10007,50,0.0008726406,0,benign,0.5
127,scored_log,1778300170.299000,1778300170.323000,9968,10017,50,0.0009990775,0,benign,0.5
128,scored_log,1778300170.299000,1778300170.329000,9978,10027,50,0.0010169976,0,benign,0.5
129,scored_log,1778300170.300000,1778300170.334000,9988,10037,50,0.001025295,0,benign,0.5
130,scored_log,1778300170.307000,1778300172.339000,9998,10047,50,0.010756462,0,benign,0.5
131,scored_log,1778300170.315000,1778300172.339000,10008,10057,50,0.011947671,0,benign,0.5
132,scored_log,1778300170.323000,1778300172.341000,10018,10067,50,0.013604855,0,benign,0.5
133,scored_log,1778300170.329000,1778300172.346000,10028,10077,50,0.0017761464,0,benign,0.5
134,scored_log,1778300170.335000,1778300172.347000,10038,10087,50,0.0013101951,0,benign,0.5
135,scored_log,1778300172.339000,1778300172.350000,10048,10097,50,0.0011603428,0,benign,0.5
136,scored_log,1778300172.339000,1778300172.351000,10058,10107,50,0.0009260199,0,benign,0.5
