sequence_id,segment_id,start_timestamp,end_timestamp,start_event_id,end_event_id,event_count,lstm_malicious_probability,lstm_prediction,lstm_prediction_label,lstm_threshold,iforest_overlap_count,iforest_window_ids,iforest_max_anomaly_score,iforest_mean_anomaly_score,iforest_max_anomaly_score_norm,iforest_any_anomaly,combined_score,combined_reason,combined_alert,combined_threshold
305,scored_log,1778300215.469000,1778300215.500000,11748,11797,50,0.9997896552085876,1,malicious,0.5,1,138,0.256494781502289,0.256494781502289,1.0,1,0.9998527586460113,lstm_and_iforest,1,0.310117
304,scored_log,1778300215.468000,1778300215.499000,11738,11787,50,0.9997546076774597,1,malicious,0.5,1,138,0.256494781502289,0.256494781502289,1.0,1,0.9998282253742218,lstm_and_iforest,1,0.310117
462,scored_log,1778300219.003000,1778300219.439000,13318,13367,50,0.9997380375862122,1,malicious,0.5,1,138,0.256494781502289,0.256494781502289,1.0,1,0.9998166263103485,lstm_and_iforest,1,0.310117
318,scored_log,1778300215.527000,1778300215.547000,11878,11927,50,0.9997298121452332,1,malicious,0.5,1,138,0.256494781502289,0.256494781502289,1.0,1,0.9998108685016632,lstm_and_iforest,1,0.310117
448,scored_log,1778300218.023000,1778300218.032000,13178,13227,50,0.9997164607048035,1,malicious,0.5,1,138,0.256494781502289,0.256494781502289,1.0,1,0.9998015224933624,lstm_and_iforest,1,0.310117
456,scored_log,1778300218.501000,1778300218.986000,13258,13307,50,0.9997144341468811,1,malicious,0.5,1,138,0.256494781502289,0.256494781502289,1.0,1,0.9998001039028168,lstm_and_iforest,1,0.310117
453,scored_log,1778300218.032000,1778300218.978000,13228,13277,50,0.999675989151001,1,malicious,0.5,1,138,0.256494781502289,0.256494781502289,1.0,1,0.9997731924057007,lstm_and_iforest,1,0.310117
446,scored_log,1778300218.008000,1778300218.031000,13158,13207,50,0.9996703863143921,1,malicious,0.5,1,138,0.256494781502289,0.256494781502289,1.0,1,0.9997692704200745,lstm_and_iforest,1,0.310117
460,scored_log,1778300218.984000,1778300219.302000,13298,13347,50,0.999664306640625,1,malicious,0.5,1,138,0.256494781502289,0.256494781502289,1.0,1,0.9997650146484375,lstm_and_iforest,1,0.310117
455,scored_log,1778300218.364000,1778300218.984000,13248,13297,50,0.9996626377105713,1,malicious,0.5,1,138,0.256494781502289,0.256494781502289,1.0,1,0.9997638463973999,lstm_and_iforest,1,0.310117
447,scored_log,1778300218.015000,1778300218.032000,13168,13217,50,0.9996606111526489,1,malicious,0.5,1,138,0.256494781502289,0.256494781502289,1.0,1,0.9997624278068542,lstm_and_iforest,1,0.310117
