attack_id,attack_type,start_ts,end_ts
rev_nc1,reverse_shell,1777867376,1777867400
sshroot1,ssh_root,1777867474,1777867481
cron1,cron,1777867623,1777867640
drop1,dropper,1777867885,1777867901
user1,user_add,1777868029,1777868047
ssh_chain1,ssh_persistence,1777868072,1777868097
cron_chain1,cron,1777868120,1777868163
rev_socat1,reverse_shell,1777868258,1777868277
bind_nc1,bind_shell,1777868370,1777868430
bind_nc2,bind_shell,1777868497,1777868530
