window_id,window_start,window_end,source,event_count,record_count_sum,record_count_mean,path_count_sum,path_count_mean,execve_count,command_count,success_yes_count,success_no_count,unique_syscall_count,unique_primary_type_count,unique_exe_count,unique_comm_count,unique_uid_count,unique_euid_count,unique_auid_count,unique_pid_count,unique_ppid_count,root_uid_count,root_euid_count,unset_auid_count,network_event_count,tmp_path_event_count,home_path_event_count,etc_path_event_count,ssh_path_event_count,root_ssh_path_event_count,var_log_path_event_count,dev_shm_path_event_count,failed_execve_count,syscall_mkdir_count,syscall_openat_count,syscall_execve_count,syscall_fchmodat_count,syscall_connect_count,syscall_unlinkat_count,syscall_setresuid_count,syscall_unlink_count,syscall_rename_count,syscall_setresgid_count,syscall_chmod_count,syscall_missing_count,syscall_sendto_count,syscall_86_count,syscall_126_count,syscall_93_count,syscall_190_count,syscall_setgid_count,syscall_85_count,syscall_88_count,syscall_260_count,syscall_316_count,syscall_setuid_count,syscall_114_count,syscall_113_count,syscall_chown_count,syscall_write_count,syscall_77_count,syscall_91_count,syscall_renameat_count,type_syscall_count,type_user_end_count,type_user_acct_count,type_cred_disp_count,type_user_start_count,type_cred_refr_count,type_user_cmd_count,type_cred_acq_count,type_user_login_count,type_service_start_count,type_service_stop_count,type_daemon_start_count,key_home_activity_count,key_exec_count,key_network_connect_count,key_privilege_transition_count,key_tmp_activity_count,key_download_tool_count,key_null_count,key_missing_count,key_service_control_count,key_shell_exec_count,key_file_destroy_count,key_chmod_change_count,key_owner_change_count,comm_mkdir_count,comm_bash_count,comm_chmod_count,comm_git_count,comm_cp_count,comm_sudo_count,comm_rm_count,comm_cat_count,comm_date_count,comm_sleep_count,comm_curl_count,comm_wget_count,comm_ls_count,comm_ps_count,comm_sshd_count,comm_top_count,comm_tar_count,comm_missing_count,comm_auditctl_count,comm_sed_count,comm_chown_count,comm_seq_count,comm_touch_count,comm_python3_count,comm_gzip_count,comm_systemctl_count,comm_whoami_count,comm_cut_count,comm_sort_count,comm_find_count,comm_tee_count,comm_head_count,comm_sh_count,comm_tr_count,comm_awk_count,comm_du_count,comm_wc_count,comm_jq_count,comm_uniq_count,comm_mv_count,comm_cron_count,comm_shuf_count,comm_dpkg_count,comm_expr_count,comm_grep_count,comm_baseline_worklo_count,comm_egrep_count,comm_landscape_sysin_count,comm_basename_count,comm_sa1_count,exe_mkdir_count,exe_bash_count,exe_chmod_count,exe_git_count,exe_cp_count,exe_sudo_count,exe_rm_count,exe_cat_count,exe_date_count,exe_sleep_count,exe_curl_count,exe_wget_count,exe_ls_count,exe_ps_count,exe_sshd_count,exe_top_count,exe_tar_count,exe_missing_count,exe_auditctl_count,exe_sed_count,exe_dash_count,exe_chown_count,exe_python3_12_count,exe_env_count,exe_seq_count,exe_touch_count,exe_gzip_count,exe_systemctl_count,exe_whoami_count,exe_cut_count,exe_sort_count,exe_find_count,exe_tee_count,exe_head_count,exe_tr_count,exe_gawk_count,exe_wc_count,exe_uniq_count,exe_jq_count,exe_du_count,exe_cron_count,exe_mv_count,exe_shuf_count,exe_dpkg_count,exe_systemd_executor_count,exe_expr_count,exe_grep_count,exe_basename_count,exe_vmware_toolbox_cmd_count,exe_getopt_count,label_benign_count,label_malicious_count,label_ambiguous_count,label_unlabeled_count,window_label,iforest_normality_score,iforest_anomaly_score,iforest_is_anomaly
170,1778300533.757,1778300543.757,combined_manual,815,3872,4.750920245398773,1281,1.5717791411042945,141,141,674,140,11,2,25,26,2,2,2,141,4,4,4,4,15,20,147,1,0,0,0,0,0,136,314,141,202,5,11,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,814,0,0,0,0,0,0,0,0,1,0,0,647,141,5,1,20,0,0,1,0,0,0,0,0,145,273,204,0,74,0,22,28,26,6,0,0,0,0,0,0,0,1,0,5,6,4,2,3,1,0,0,1,2,1,2,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,145,273,204,0,74,0,22,28,26,6,0,0,0,0,0,0,0,1,0,5,0,6,3,0,4,2,1,0,0,1,2,1,2,1,0,1,1,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,815,unlabeled,-0.0118174698398216,0.0118174698398216,1
135,1778300183.757,1778300193.757,combined_manual,215,688,3.2,125,0.5813953488372093,15,15,125,72,8,7,7,7,2,3,1,15,5,71,116,0,105,0,57,0,0,0,0,0,0,54,6,15,0,35,0,51,0,0,30,0,18,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,197,3,3,3,3,3,3,0,0,0,0,0,60,13,35,87,0,0,0,18,2,0,0,0,0,58,3,0,0,0,126,0,0,0,4,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,58,3,0,0,0,126,0,0,0,4,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,215,unlabeled,-0.0007194149971975,0.0007194149971975,1
143,1778300263.757,1778300273.757,combined_manual,528,2518,4.768939393939394,790,1.496212121212121,130,130,345,183,6,1,21,21,1,1,1,131,3,0,0,0,90,0,172,0,6,0,0,0,0,164,148,130,55,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,528,0,0,0,0,0,0,0,0,0,0,0,368,128,30,0,0,2,0,0,0,0,0,0,0,177,118,60,0,54,0,0,26,25,8,14,12,5,0,0,0,0,0,0,0,6,5,2,0,2,0,0,2,4,1,0,1,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,177,118,60,0,54,0,0,26,25,8,14,12,5,0,0,0,0,0,0,0,0,6,0,0,5,2,2,0,0,2,4,1,0,1,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,528,unlabeled,0.0006510787182917,-0.0006510787182917,0
185,1778300683.757,1778300693.757,combined_manual,647,2881,4.452859350850077,842,1.3013910355486862,65,65,495,151,14,2,23,23,2,2,2,66,7,4,4,4,27,29,214,1,0,0,0,0,0,155,69,65,302,9,10,0,12,10,0,7,1,0,3,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,646,0,0,0,0,0,0,0,0,1,0,0,551,60,9,1,20,5,0,1,0,0,0,0,0,149,23,304,91,22,0,20,0,1,5,0,0,0,0,0,0,6,1,0,0,6,3,0,0,3,0,0,1,2,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,149,23,304,91,22,0,20,0,1,5,0,0,0,0,0,0,6,1,0,0,1,6,0,0,3,0,3,0,0,1,2,1,0,1,0,0,1,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,647,unlabeled,0.0166660828196133,-0.0166660828196133,0
175,1778300583.757,1778300593.757,combined_manual,664,3311,4.98644578313253,1170,1.7620481927710845,117,117,534,129,14,2,19,19,2,2,2,118,5,4,4,4,69,9,185,1,6,0,0,0,0,130,352,117,3,23,1,0,12,11,0,7,1,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,663,0,0,0,0,0,0,0,0,1,0,0,522,110,23,1,0,7,0,1,0,0,0,0,0,123,285,6,91,52,0,2,28,27,6,14,12,0,0,0,0,0,1,0,5,0,1,4,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,285,6,91,52,0,2,28,27,6,14,12,0,0,0,0,0,1,0,5,0,0,0,0,1,4,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,664,unlabeled,0.0214121960655032,-0.0214121960655032,0
171,1778300543.757,1778300553.757,combined_manual,416,2037,4.896634615384615,672,1.6153846153846154,56,56,250,165,14,2,20,20,2,2,2,59,8,4,4,4,33,18,282,1,6,0,0,0,0,179,95,56,3,11,1,0,24,21,0,14,1,0,6,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,415,0,0,0,0,0,0,0,0,1,0,0,347,46,11,1,0,10,0,1,0,0,0,0,0,156,20,6,182,2,0,2,3,4,7,0,0,5,6,0,5,0,1,0,5,0,0,4,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,20,6,182,2,0,2,3,4,7,0,0,5,6,0,5,0,1,0,5,0,0,1,0,0,4,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,416,unlabeled,0.0223237640980396,-0.0223237640980396,0
153,1778300363.757,1778300373.757,combined_manual,270,1308,4.844444444444444,422,1.5629629629629629,46,43,144,126,11,1,22,21,2,2,2,45,7,1,1,1,18,9,177,0,0,0,0,0,3,129,53,46,1,6,0,0,12,11,0,7,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,270,0,0,0,0,0,0,0,0,0,0,0,217,40,6,0,0,5,0,0,0,1,1,0,0,120,17,2,91,2,0,0,2,2,5,0,0,0,0,0,0,6,0,0,0,0,2,0,3,3,0,3,1,2,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,120,17,2,91,2,0,0,2,2,5,0,0,0,0,0,0,6,0,0,0,1,0,3,4,2,0,3,0,3,1,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,unlabeled,0.0497912057702145,-0.0497912057702145,0
174,1778300573.757,1778300583.757,combined_manual,392,1650,4.209183673469388,432,1.1020408163265305,33,33,274,117,8,2,18,19,2,2,2,32,6,4,4,4,33,0,108,1,0,0,0,0,0,109,8,33,227,11,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,391,0,0,0,0,0,0,0,0,1,0,0,346,31,11,1,0,0,0,1,2,0,0,0,0,116,7,229,0,0,0,0,1,0,6,0,0,0,0,0,0,6,1,0,0,6,0,0,3,2,4,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,116,7,229,0,0,0,0,1,0,6,0,0,0,0,0,0,6,1,0,0,1,6,3,0,0,0,2,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,392,unlabeled,0.050710367957376,-0.050710367957376,0
162,1778300453.757,1778300463.757,combined_manual,187,859,4.593582887700535,247,1.320855614973262,45,42,64,122,7,2,25,26,2,2,2,41,5,4,4,4,33,0,109,1,0,0,0,0,3,109,18,45,1,11,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,186,0,0,0,0,0,0,0,0,1,0,0,129,44,11,1,0,0,0,1,0,1,0,0,0,116,17,2,0,2,0,0,2,1,6,0,0,5,0,0,0,6,1,0,0,0,2,0,3,3,0,3,1,2,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,116,17,2,0,2,0,0,2,1,6,0,0,5,0,0,0,6,1,0,0,1,0,3,4,2,0,3,0,3,1,2,1,0,1,0,0,1,1,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,187,unlabeled,0.0510252776249568,-0.0510252776249568,0
141,1778300243.757,1778300253.757,combined_manual,253,1182,4.67193675889328,357,1.4110671936758894,57,54,105,147,7,2,18,18,2,2,2,56,8,4,4,4,42,22,145,0,0,0,0,0,3,136,28,57,1,14,14,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,252,0,0,0,0,0,0,0,0,0,1,0,157,56,14,0,24,0,0,1,0,1,0,0,0,145,18,2,0,20,0,20,2,1,5,0,0,5,0,0,0,12,1,0,0,0,1,0,3,4,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,145,18,2,0,20,0,20,2,1,5,0,0,5,0,0,0,12,1,0,0,2,0,3,4,1,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,253,unlabeled,0.0526775378282102,-0.0526775378282102,0
