tp,tn,fp,fn,precision,recall,f1,fpr,tnr,accuracy,threshold,predicted_positive
1,661,0,120,1.0,0.008264462809917356,0.01639344262295082,0.0,1.0,0.8465473145780051,0.999876541,1
2,661,0,119,1.0,0.01652892561983471,0.032520325203252036,0.0,1.0,0.8478260869565217,0.999873951,2
3,661,0,118,1.0,0.024793388429752067,0.048387096774193554,0.0,1.0,0.8491048593350383,0.99986952,3
4,661,0,117,1.0,0.03305785123966942,0.06400000000000002,0.0,1.0,0.850383631713555,0.999858852,4
5,661,0,116,1.0,0.04132231404958678,0.07936507936507936,0.0,1.0,0.8516624040920716,0.999854848,5
6,661,0,115,1.0,0.049586776859504134,0.09448818897637795,0.0,1.0,0.8529411764705882,0.999848002,6
7,661,0,114,1.0,0.05785123966942149,0.109375,0.0,1.0,0.8542199488491049,0.9998288080000001,7
8,661,0,113,1.0,0.06611570247933884,0.12403100775193798,0.0,1.0,0.8554987212276215,0.999826722,8
9,661,0,112,1.0,0.0743801652892562,0.13846153846153847,0.0,1.0,0.8567774936061381,0.99982171,9
10,661,0,111,1.0,0.08264462809917356,0.15267175572519084,0.0,1.0,0.8580562659846548,0.9998202119999999,10
11,661,0,110,1.0,0.09090909090909091,0.16666666666666669,0.0,1.0,0.8593350383631714,0.99981989,11
12,661,0,109,1.0,0.09917355371900827,0.18045112781954886,0.0,1.0,0.860613810741688,0.99978272,12
13,661,0,108,1.0,0.10743801652892562,0.19402985074626863,0.0,1.0,0.8618925831202046,0.99973323,13
14,661,0,107,1.0,0.11570247933884298,0.2074074074074074,0.0,1.0,0.8631713554987213,0.99971517,14
15,661,0,106,1.0,0.12396694214876033,0.22058823529411764,0.0,1.0,0.8644501278772379,0.9997050550000001,15
16,661,0,105,1.0,0.1322314049586777,0.23357664233576642,0.0,1.0,0.8657289002557544,0.9997018,16
17,661,0,104,1.0,0.14049586776859505,0.2463768115942029,0.0,1.0,0.8670076726342711,0.99961542,17
18,661,0,103,1.0,0.1487603305785124,0.2589928057553957,0.0,1.0,0.8682864450127877,0.999590192,18
19,661,0,102,1.0,0.15702479338842976,0.27142857142857146,0.0,1.0,0.8695652173913043,0.99957132,19
20,661,0,101,1.0,0.1652892561983471,0.28368794326241137,0.0,1.0,0.870843989769821,0.99956782,20
21,661,0,100,1.0,0.17355371900826447,0.29577464788732394,0.0,1.0,0.8721227621483376,0.99955921,21
22,661,0,99,1.0,0.18181818181818182,0.3076923076923077,0.0,1.0,0.8734015345268542,0.99955354,22
23,661,0,98,1.0,0.19008264462809918,0.3194444444444444,0.0,1.0,0.8746803069053708,0.99938547,23
24,661,0,97,1.0,0.19834710743801653,0.3310344827586207,0.0,1.0,0.8759590792838875,0.999245645,24
25,661,0,96,1.0,0.2066115702479339,0.34246575342465757,0.0,1.0,0.8772378516624041,0.9991553519999999,25
26,661,0,95,1.0,0.21487603305785125,0.35374149659863946,0.0,1.0,0.8785166240409207,0.998988668,26
