tp,tn,fp,fn,precision,recall,f1,fpr,tnr,accuracy,threshold,predicted_positive
1,52,0,10,1.0,0.09090909090909091,0.16666666666666669,0.0,1.0,0.8412698412698413,0.256494781502289,1
2,52,0,9,1.0,0.18181818181818182,0.3076923076923077,0.0,1.0,0.8571428571428571,0.2346683806585165,2
3,52,0,8,1.0,0.2727272727272727,0.42857142857142855,0.0,1.0,0.873015873015873,0.2300165721019489,3
4,52,0,7,1.0,0.36363636363636365,0.5333333333333333,0.0,1.0,0.8888888888888888,0.2246575276929596,4
5,52,0,6,1.0,0.45454545454545453,0.625,0.0,1.0,0.9047619047619048,0.2221588938636143,5
6,52,0,5,1.0,0.5454545454545454,0.7058823529411764,0.0,1.0,0.9206349206349206,0.2167015214339391,6
7,52,0,4,1.0,0.6363636363636364,0.7777777777777778,0.0,1.0,0.9365079365079365,0.2160294663398068,7
8,52,0,3,1.0,0.7272727272727273,0.8421052631578948,0.0,1.0,0.9523809523809523,0.2089982412022011,8
9,52,0,2,1.0,0.8181818181818182,0.9,0.0,1.0,0.9682539682539683,0.2045869074110808,9
10,52,0,1,1.0,0.9090909090909091,0.9523809523809523,0.0,1.0,0.9841269841269841,0.1916537226960299,10
11,52,0,0,1.0,1.0,1.0,0.0,1.0,1.0,0.1658288763877351,11
11,51,1,0,0.9166666666666666,1.0,0.9565217391304348,0.019230769230769232,0.9807692307692307,0.9841269841269841,0.1490394273876073,12
11,50,2,0,0.8461538461538461,1.0,0.9166666666666666,0.038461538461538464,0.9615384615384616,0.9682539682539683,0.1481834291366542,13
11,49,3,0,0.7857142857142857,1.0,0.88,0.057692307692307696,0.9423076923076923,0.9523809523809523,0.1379510411120422,14
11,48,4,0,0.7333333333333333,1.0,0.846153846153846,0.07692307692307693,0.9230769230769231,0.9365079365079365,0.1225638522472748,15
11,47,5,0,0.6875,1.0,0.8148148148148148,0.09615384615384616,0.9038461538461539,0.9206349206349206,0.069127116269847,16
11,46,6,0,0.6470588235294118,1.0,0.7857142857142858,0.11538461538461539,0.8846153846153846,0.9047619047619048,0.0541551149506983,17
11,45,7,0,0.6111111111111112,1.0,0.7586206896551725,0.1346153846153846,0.8653846153846154,0.8888888888888888,0.0255424197533616,18
11,44,8,0,0.5789473684210527,1.0,0.7333333333333334,0.15384615384615385,0.8461538461538461,0.873015873015873,0.0118174698398216,19
11,43,9,0,0.55,1.0,0.7096774193548387,0.17307692307692307,0.8269230769230769,0.8571428571428571,0.0007194149971975,20
11,42,10,0,0.5238095238095238,1.0,0.6875000000000001,0.19230769230769232,0.8076923076923077,0.8412698412698413,-0.0006510787182917,21
11,41,11,0,0.5,1.0,0.6666666666666666,0.21153846153846154,0.7884615384615384,0.8253968253968254,-0.0166660828196133,22
11,40,12,0,0.4782608695652174,1.0,0.6470588235294118,0.23076923076923078,0.7692307692307693,0.8095238095238095,-0.0214121960655032,23
11,39,13,0,0.4583333333333333,1.0,0.6285714285714286,0.25,0.75,0.7936507936507936,-0.0223237640980396,24
11,38,14,0,0.44,1.0,0.6111111111111112,0.2692307692307692,0.7307692307692307,0.7777777777777778,-0.0497912057702145,25
11,37,15,0,0.4230769230769231,1.0,0.5945945945945945,0.28846153846153844,0.7115384615384616,0.7619047619047619,-0.050710367957376,26
11,36,16,0,0.4074074074074074,1.0,0.5789473684210525,0.3076923076923077,0.6923076923076923,0.746031746031746,-0.0510252776249568,27
11,35,17,0,0.39285714285714285,1.0,0.5641025641025641,0.3269230769230769,0.6730769230769231,0.7301587301587301,-0.0526775378282102,28
11,34,18,0,0.3793103448275862,1.0,0.5499999999999999,0.34615384615384615,0.6538461538461539,0.7142857142857143,-0.0640297164175144,29
11,33,19,0,0.36666666666666664,1.0,0.5365853658536585,0.36538461538461536,0.6346153846153846,0.6984126984126984,-0.0640730794756703,30
11,32,20,0,0.3548387096774194,1.0,0.5238095238095238,0.38461538461538464,0.6153846153846154,0.6825396825396826,-0.0664986935004417,31
11,31,21,0,0.34375,1.0,0.5116279069767442,0.40384615384615385,0.5961538461538461,0.6666666666666666,-0.0666108381149138,32
11,30,22,0,0.3333333333333333,1.0,0.5,0.4230769230769231,0.5769230769230769,0.6507936507936508,-0.0747868979528463,33
11,29,23,0,0.3235294117647059,1.0,0.48888888888888893,0.4423076923076923,0.5576923076923077,0.6349206349206349,-0.0759359543553784,34
11,28,24,0,0.3142857142857143,1.0,0.4782608695652174,0.46153846153846156,0.5384615384615384,0.6190476190476191,-0.0764863886734949,35
11,27,25,0,0.3055555555555556,1.0,0.46808510638297873,0.4807692307692308,0.5192307692307693,0.6031746031746031,-0.0774501297640082,36
11,26,26,0,0.2972972972972973,1.0,0.4583333333333333,0.5,0.5,0.5873015873015873,-0.0804909163723281,37
11,25,27,0,0.2894736842105263,1.0,0.4489795918367347,0.5192307692307693,0.4807692307692308,0.5714285714285714,-0.084987500143516,38
11,24,28,0,0.28205128205128205,1.0,0.44000000000000006,0.5384615384615384,0.46153846153846156,0.5555555555555556,-0.0867369048693838,39
11,23,29,0,0.275,1.0,0.4313725490196079,0.5576923076923077,0.4423076923076923,0.5396825396825397,-0.0879364122264854,40
11,22,30,0,0.2682926829268293,1.0,0.4230769230769231,0.5769230769230769,0.4230769230769231,0.5238095238095238,-0.0887145674511478,41
