alert_id,start_timestamp,end_timestamp,start_event_id,end_event_id,duration_seconds,sequence_count,event_count,sequence_ids,iforest_window_ids,max_lstm_probability,mean_lstm_probability,max_iforest_anomaly_score,max_combined_score,mean_combined_score,combined_reason_summary,top_event_commands,top_event_keys,top_event_exes,top_event_comms,top_event_syscalls,top_event_paths
0,1778298833.778000,1778298842.857000,8748,8937,9.078999996185303,12,205,5|9|10|11|12|13|14|15|16|17|18|19,0,0.9872783422470093,0.5142433230454723,0.12256385224727484,0.9751248135151311,0.6440003000740554,iforest_only|lstm_and_iforest,sudo systemctl status auditd (1) || systemctl status auditd (1) || less (1) || sudo auditctl -s (1) || auditctl -s (1),(null):97|privilege_transition:58|network_connect:23|exec:4|service_control:4|home_activity:2|owner_change:2|chmod_change:1,/usr/sbin/auditctl:98|/usr/bin/sudo:86|/usr/bin/systemctl:5|/usr/bin/less:3,auditctl:98|sudo:86|(pager):3|less:3|systemctl:2,sendto:97|setresuid:34|connect:23|setresgid:20|execve:8|openat:2|chown:2|setgid:2,/usr/bin/:60|/var/run/nscd/socket:24|/bin/:16|/usr/sbin/:16|/sbin/:12|/etc/:6|/lib64/ld-linux-x86-64.so.2:5|/etc/ssh/:4
1,1778298958.707000,1778298960.903000,9058,9117,2.196000099182129,2,61,36|37,12,0.03709709271788597,0.032975359819829464,0.13747336859659853,0.3259679649025202,0.3230827518738807,iforest_only,� -k /var/log (3) || awk NR == 2 { print $4 } (3) || date (3) || grep -iq link/ether (2) || mv -f /var/log/vmware-network.3.log /var/log/vmware-network.4.log (1) || expr 2 + 1 (1) || mv -f /var/log/vmware-network.2.log /var/log/vmware-network.3.log (1) || expr 1 + 1 (1),exec:43|network_connect:6|file_destroy:5|privilege_transition:4|service_control:2|chmod_change:1,/usr/bin/dash:10|/usr/bin/mv:8|/usr/bin/dbus-send:6|/usr/bin/grep:5|/usr/sbin/sshd:5|/usr/bin/gawk:4|/usr/bin/ip:4|/usr/bin/systemctl:4,mv:8|which:6|dbus-send:6|grep:5|sshd:5|awk:4|ip:4|egrep:4,execve:45|connect:6|316:4|114:2|fchmodat:1|unlinkat:1|setresuid:1|113:1,/lib64/ld-linux-x86-64.so.2:42|/usr/bin/which:12|/usr/bin/grep:10|/usr/bin/mv:8|/var/log/:8|/usr/bin/awk:8|/usr/sbin/ip:8|/bin/sh:7
2,1778298969.284000,1778298973.627000,9228,9297,4.343000173568726,3,74,53|54|55,13,0.9844443798065186,0.7123737335205078,0.10144656631688442,0.9505216872619866,0.7600722348617791,lstm_and_iforest,sort -r (1) || grep -E overlayroot|/media/root-ro|/media/root-rw /proc/mounts (1) || /bin/sh /etc/update-motd.d/98-fsck-at-reboot (1) || /bin/sh /usr/lib/update-notifier/update-motd-fsck-at-reboot (1) || id -u (1) || stat -c %Y /var/lib/update-notifier/fsck-at-reboot (1) || awk {print $1} /proc/uptime (1) || date -d now - 2384.63 seconds +%s (1),exec:36|home_activity:15|network_connect:9|privilege_transition:6|shell_exec:3|file_destroy:1|owner_change:1,/usr/sbin/sshd:15|/usr/bin/mkdir:13|/usr/bin/dash:8|/usr/bin/bash:8|/usr/bin/env:8|/usr/bin/date:4|/usr/bin/cat:2|/usr/bin/rm:2,sshd:15|mkdir:13|bash:8|baseline_worklo:8|date:4|egrep:3|cat:2|rm:2,execve:39|mkdir:11|connect:9|openat:3|setresuid:2|rename:1|setgid:1|126:1,/lib64/ld-linux-x86-64.so.2:30|/run/systemd/userdb/io.systemd.DynamicUser:14|/usr/bin/date:8|/home/analyst/baseline_workload/state/:8|/home:6|/home/analyst:6|/home/analyst/baseline_workload:6|/bin/sh:5
3,1778299018.048000,1778299023.116000,10468,10597,5.067999839782715,8,134,177|178|179|180|182|183|184|185,18,0.8667192459106445,0.5261554066091776,0.0022444832207405563,0.7618557941432336,0.5234611066322068,iforest_only|lstm_and_iforest,systemctl status nginx --no-pager (1) || sleep 3 (1) || sudo -n systemctl status ssh --no-pager (1) || systemctl status ssh --no-pager (1) || sleep 2 (1) || sudo -n journalctl -n --no-pager (1),privilege_transition:80|network_connect:32|home_activity:4|exec:4|service_control:2,/usr/bin/sudo:114|/usr/bin/systemctl:4|/usr/bin/sleep:2|/usr/bin/bash:2,sudo:114|systemctl:4|sleep:2|bash:2,setresuid:47|connect:32|setresgid:29|execve:6|openat:4|setgid:2|126:2,/var/run/nscd/socket:32|/lib64/ld-linux-x86-64.so.2:6|/home/analyst/:4|/dev/log:4|/usr/bin/systemctl:4|/run/systemd/private:4|/usr/bin/sleep:4|logs/:4
4,1778299231.876000,1778299237.922000,15318,15437,6.046000003814697,7,134,662|663|664|665|667|668|669,39|40,0.8750677704811096,0.610322260430881,0.02004073860733868,0.7867618593741755,0.6014400023390155,iforest_only|lstm_and_iforest,sleep 3 (2) || systemctl status nginx --no-pager (1) || sudo -n systemctl status ssh --no-pager (1) || systemctl status ssh --no-pager (1) || sudo -n journalctl -n --no-pager (1),privilege_transition:80|network_connect:32|home_activity:4|exec:4|service_control:2,/usr/bin/sudo:114|/usr/bin/systemctl:4|/usr/bin/sleep:2|/usr/bin/bash:2,sudo:114|systemctl:4|sleep:2|bash:2,setresuid:47|connect:32|setresgid:29|execve:6|openat:4|setgid:2|126:2,/var/run/nscd/socket:32|/lib64/ld-linux-x86-64.so.2:6|/home/analyst/:4|/dev/log:4|/usr/bin/systemctl:4|/run/systemd/private:4|/usr/bin/sleep:4|logs/:4
5,1778299419.046000,1778299423.102000,21068,21187,4.055999994277954,6,129,1237|1238|1239|1242|1243|1244,58,0.8319123387336731,0.623367910583814,0.007384168045744821,0.7429962282817428,0.5970151285768414,iforest_only|lstm_and_iforest,sleep 2 (2) || systemctl status nginx --no-pager (1) || sudo -n systemctl status ssh --no-pager (1) || systemctl status ssh --no-pager (1) || sudo -n journalctl -n --no-pager (1),privilege_transition:75|network_connect:32|home_activity:4|exec:4|service_control:2,/usr/bin/sudo:109|/usr/bin/systemctl:4|/usr/bin/sleep:2|/usr/bin/bash:2,sudo:109|systemctl:4|sleep:2|bash:2,setresuid:45|connect:32|setresgid:26|execve:6|openat:4|setgid:2|126:2,/var/run/nscd/socket:32|/lib64/ld-linux-x86-64.so.2:6|/home/analyst/:4|/dev/log:4|/usr/bin/systemctl:4|/run/systemd/private:4|/usr/bin/sleep:4|logs/:4
6,1778299629.594000,1778299632.664000,27858,27967,3.069999933242798,6,134,1916|1917|1919|1920|1921|1922,79,0.8142790198326111,0.5044398034612337,0.05545555850128869,0.7821436000019024,0.5652561485419383,iforest_only|lstm_and_iforest,systemctl status nginx --no-pager (1) || sleep 1 (1) || sudo -n systemctl status ssh --no-pager (1) || systemctl status ssh --no-pager (1) || sleep 2 (1) || sudo -n journalctl -n --no-pager (1),privilege_transition:80|network_connect:32|home_activity:4|exec:4|service_control:2,/usr/bin/sudo:114|/usr/bin/systemctl:4|/usr/bin/sleep:2|/usr/bin/bash:2,sudo:114|systemctl:4|sleep:2|bash:2,setresuid:47|connect:32|setresgid:29|execve:6|openat:4|setgid:2|126:2,/var/run/nscd/socket:32|/lib64/ld-linux-x86-64.so.2:6|/home/analyst/:4|/dev/log:4|/usr/bin/systemctl:4|/run/systemd/private:4|/usr/bin/sleep:4|logs/:4
