sequence_id,segment_id,start_timestamp,end_timestamp,start_event_id,end_event_id,event_count,lstm_malicious_probability,lstm_prediction,lstm_prediction_label,lstm_threshold
58,scored_log,1778298973.616000,1778298973.638000,9278,9327,50,0.0035703853,0,benign,0.5
59,scored_log,1778298973.623000,1778298973.639000,9288,9337,50,0.008929722,0,benign,0.5
60,scored_log,1778298973.627000,1778298973.641000,9298,9347,50,0.0018678149,0,benign,0.5
61,scored_log,1778298973.629000,1778298973.647000,9308,9357,50,0.0075731827,0,benign,0.5
62,scored_log,1778298973.630000,1778298973.648000,9318,9367,50,0.010795988,0,benign,0.5
63,scored_log,1778298973.638000,1778298973.649000,9328,9377,50,0.0030471121,0,benign,0.5
64,scored_log,1778298973.639000,1778298973.657000,9338,9387,50,0.013784587,0,benign,0.5
65,scored_log,1778298973.642000,1778298973.818000,9348,9397,50,0.0055543003,0,benign,0.5
66,scored_log,1778298973.647000,1778298977.976000,9358,9407,50,0.0076569202,0,benign,0.5
67,scored_log,1778298973.648000,1778298977.976000,9368,9417,50,0.010430769,0,benign,0.5
68,scored_log,1778298973.650000,1778298977.978000,9378,9427,50,0.0017820207,0,benign,0.5
69,scored_log,1778298973.697000,1778298977.984000,9388,9437,50,0.0012975229,0,benign,0.5
70,scored_log,1778298973.935000,1778298977.991000,9398,9447,50,0.0013895518,0,benign,0.5
71,scored_log,1778298977.976000,1778298977.998000,9408,9457,50,0.0016846097,0,benign,0.5
72,scored_log,1778298977.976000,1778298978.004000,9418,9467,50,0.0017874661,0,benign,0.5
73,scored_log,1778298977.979000,1778298978.010000,9428,9477,50,0.0017981415,0,benign,0.5
74,scored_log,1778298977.985000,1778298979.020000,9438,9487,50,0.0048943902,0,benign,0.5
75,scored_log,1778298977.991000,1778298979.020000,9448,9497,50,0.010815,0,benign,0.5
76,scored_log,1778298977.998000,1778298979.020000,9458,9507,50,0.0119493045,0,benign,0.5
77,scored_log,1778298978.005000,1778298979.024000,9468,9517,50,0.0010312472,0,benign,0.5
78,scored_log,1778298978.012000,1778298979.030000,9478,9527,50,0.0018780259,0,benign,0.5
79,scored_log,1778298979.020000,1778298980.035000,9488,9537,50,0.009700951,0,benign,0.5
80,scored_log,1778298979.020000,1778298980.035000,9498,9547,50,0.010958699,0,benign,0.5
81,scored_log,1778298979.020000,1778298980.038000,9508,9557,50,0.010859977,0,benign,0.5
82,scored_log,1778298979.025000,1778298980.060000,9518,9567,50,0.00026043662,0,benign,0.5
83,scored_log,1778298979.030000,1778298980.089000,9528,9577,50,0.0004830622,0,benign,0.5
84,scored_log,1778298980.035000,1778298982.095000,9538,9587,50,0.008371574,0,benign,0.5
85,scored_log,1778298980.035000,1778298982.095000,9548,9597,50,0.008969613,0,benign,0.5
86,scored_log,1778298980.038000,1778298982.097000,9558,9607,50,0.010117223,0,benign,0.5
87,scored_log,1778298980.074000,1778298982.110000,9568,9617,50,0.0022828823,0,benign,0.5
88,scored_log,1778298980.091000,1778298982.114000,9578,9627,50,0.0010531292,0,benign,0.5
89,scored_log,1778298982.095000,1778298982.118000,9588,9637,50,0.0012582695,0,benign,0.5
90,scored_log,1778298982.095000,1778298982.119000,9598,9647,50,0.00074867334,0,benign,0.5
91,scored_log,1778298982.098000,1778298982.122000,9608,9657,50,0.00085712236,0,benign,0.5
92,scored_log,1778298982.110000,1778298982.129000,9618,9667,50,0.000992164,0,benign,0.5
93,scored_log,1778298982.115000,1778298982.133000,9628,9677,50,0.0009078022,0,benign,0.5
94,scored_log,1778298982.119000,1778298982.136000,9638,9687,50,0.0011188665,0,benign,0.5
95,scored_log,1778298982.120000,1778298982.138000,9648,9697,50,0.0008934312,0,benign,0.5
96,scored_log,1778298982.122000,1778298982.153000,9658,9707,50,0.00071157404,0,benign,0.5
97,scored_log,1778298982.129000,1778298985.159000,9668,9717,50,0.0048922817,0,benign,0.5
98,scored_log,1778298982.135000,1778298985.159000,9678,9727,50,0.008793171,0,benign,0.5
99,scored_log,1778298982.137000,1778298985.160000,9688,9737,50,0.010320016,0,benign,0.5
100,scored_log,1778298982.139000,1778298985.165000,9698,9747,50,0.00036078086,0,benign,0.5
101,scored_log,1778298982.154000,1778298986.220000,9708,9757,50,0.0034950136,0,benign,0.5
102,scored_log,1778298985.159000,1778298988.228000,9718,9767,50,0.009100121,0,benign,0.5
103,scored_log,1778298985.159000,1778298988.228000,9728,9777,50,0.009720633,0,benign,0.5
104,scored_log,1778298985.161000,1778298988.231000,9738,9787,50,0.011297843,0,benign,0.5
105,scored_log,1778298985.166000,1778298988.237000,9748,9797,50,0.0068194517,0,benign,0.5
106,scored_log,1778298986.221000,1778298988.247000,9758,9807,50,0.0004803391,0,benign,0.5
