window_id,window_start,window_end,source,event_count,record_count_sum,record_count_mean,path_count_sum,path_count_mean,execve_count,command_count,success_yes_count,success_no_count,unique_syscall_count,unique_primary_type_count,unique_exe_count,unique_comm_count,unique_uid_count,unique_euid_count,unique_auid_count,unique_pid_count,unique_ppid_count,root_uid_count,root_euid_count,unset_auid_count,network_event_count,tmp_path_event_count,home_path_event_count,etc_path_event_count,ssh_path_event_count,root_ssh_path_event_count,var_log_path_event_count,dev_shm_path_event_count,failed_execve_count,syscall_mkdir_count,syscall_openat_count,syscall_execve_count,syscall_fchmodat_count,syscall_connect_count,syscall_unlinkat_count,syscall_setresuid_count,syscall_unlink_count,syscall_rename_count,syscall_setresgid_count,syscall_chmod_count,syscall_missing_count,syscall_sendto_count,syscall_86_count,syscall_126_count,syscall_93_count,syscall_190_count,syscall_setgid_count,syscall_85_count,syscall_88_count,syscall_260_count,syscall_316_count,syscall_setuid_count,syscall_114_count,syscall_113_count,syscall_chown_count,syscall_write_count,syscall_77_count,syscall_91_count,syscall_renameat_count,type_syscall_count,type_user_end_count,type_user_acct_count,type_cred_disp_count,type_user_start_count,type_cred_refr_count,type_user_cmd_count,type_cred_acq_count,type_user_login_count,type_service_start_count,type_service_stop_count,type_daemon_start_count,key_home_activity_count,key_exec_count,key_network_connect_count,key_privilege_transition_count,key_tmp_activity_count,key_download_tool_count,key_null_count,key_missing_count,key_service_control_count,key_shell_exec_count,key_file_destroy_count,key_chmod_change_count,key_owner_change_count,comm_mkdir_count,comm_bash_count,comm_chmod_count,comm_git_count,comm_cp_count,comm_sudo_count,comm_rm_count,comm_cat_count,comm_date_count,comm_sleep_count,comm_curl_count,comm_wget_count,comm_ls_count,comm_ps_count,comm_sshd_count,comm_top_count,comm_tar_count,comm_missing_count,comm_auditctl_count,comm_sed_count,comm_chown_count,comm_seq_count,comm_touch_count,comm_python3_count,comm_gzip_count,comm_systemctl_count,comm_whoami_count,comm_cut_count,comm_sort_count,comm_find_count,comm_tee_count,comm_head_count,comm_sh_count,comm_tr_count,comm_awk_count,comm_du_count,comm_wc_count,comm_jq_count,comm_uniq_count,comm_mv_count,comm_cron_count,comm_shuf_count,comm_dpkg_count,comm_expr_count,comm_grep_count,comm_baseline_worklo_count,comm_egrep_count,comm_landscape_sysin_count,comm_basename_count,comm_sa1_count,exe_mkdir_count,exe_bash_count,exe_chmod_count,exe_git_count,exe_cp_count,exe_sudo_count,exe_rm_count,exe_cat_count,exe_date_count,exe_sleep_count,exe_curl_count,exe_wget_count,exe_ls_count,exe_ps_count,exe_sshd_count,exe_top_count,exe_tar_count,exe_missing_count,exe_auditctl_count,exe_sed_count,exe_dash_count,exe_chown_count,exe_python3_12_count,exe_env_count,exe_seq_count,exe_touch_count,exe_gzip_count,exe_systemctl_count,exe_whoami_count,exe_cut_count,exe_sort_count,exe_find_count,exe_tee_count,exe_head_count,exe_tr_count,exe_gawk_count,exe_wc_count,exe_uniq_count,exe_jq_count,exe_du_count,exe_cron_count,exe_mv_count,exe_shuf_count,exe_dpkg_count,exe_systemd_executor_count,exe_expr_count,exe_grep_count,exe_basename_count,exe_vmware_toolbox_cmd_count,exe_getopt_count,label_benign_count,label_malicious_count,label_ambiguous_count,label_unlabeled_count,window_label
71,1778299543.757000,1778299553.757000,parsed_events,256,1269,4.95703125,428,1.671875,46,46,167,89,10,1,13,12,1,1,1,48,4,0,0,0,6,29,159,0,0,0,0,0,0,101,64,46,0,2,10,0,12,10,0,7,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,256,0,0,0,0,0,0,0,0,0,0,0,188,39,2,0,20,5,0,0,2,0,0,0,0,91,19,0,91,20,0,20,0,1,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,19,0,91,20,0,20,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,256,unlabeled
72,1778299553.757000,1778299563.757000,parsed_events,169,732,4.331360946745562,186,1.1005917159763314,21,21,44,125,5,1,10,10,1,1,1,21,4,0,0,0,102,0,108,0,0,0,0,0,0,108,5,21,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,169,0,0,0,0,0,0,0,0,0,0,0,114,19,34,0,0,2,0,0,0,0,0,0,0,116,3,0,0,0,0,0,0,0,4,14,12,10,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,116,3,0,0,0,0,0,0,0,4,14,12,10,0,0,0,6,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,169,unlabeled
73,1778299563.757000,1778299573.757000,parsed_events,72,346,4.805555555555555,104,1.4444444444444444,20,20,35,37,5,1,13,13,1,1,1,22,3,0,0,0,18,0,37,0,6,0,0,0,0,31,12,20,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,46,20,6,0,0,0,0,0,0,0,0,0,0,32,11,6,0,0,0,0,1,1,4,0,0,0,6,0,5,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,11,6,0,0,0,0,1,1,4,0,0,0,6,0,5,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,72,unlabeled
74,1778299573.757000,1778299583.757000,parsed_events,612,3055,4.991830065359477,1108,1.8104575163398693,105,105,496,116,4,1,17,17,1,1,1,107,3,0,0,0,18,0,111,0,0,0,0,0,0,110,391,105,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,612,0,0,0,0,0,0,0,0,0,0,0,501,105,6,0,0,0,0,0,0,0,0,0,0,116,365,1,0,52,0,0,26,26,4,0,0,0,6,0,5,0,0,0,0,0,3,0,1,1,0,0,1,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,116,365,1,0,52,0,0,26,26,4,0,0,0,6,0,5,0,0,0,0,0,0,1,0,3,0,1,0,0,1,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,612,unlabeled
75,1778299583.757000,1778299593.757000,parsed_events,746,3376,4.525469168900805,1015,1.3605898123324396,65,62,585,161,14,1,20,19,1,1,1,64,9,0,0,0,18,18,273,0,0,0,0,0,3,176,96,65,328,6,2,0,24,22,0,14,0,0,6,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,746,0,0,0,0,0,0,0,0,0,0,0,675,54,6,0,0,10,0,0,0,1,0,0,0,153,18,330,182,4,0,4,5,5,7,0,0,0,0,0,0,0,0,0,10,6,0,4,3,0,0,3,0,0,1,4,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,18,330,182,4,0,4,5,5,7,0,0,0,0,0,0,0,0,0,10,0,6,3,4,0,4,0,0,3,0,0,1,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,746,unlabeled
76,1778299593.757000,1778299603.757000,parsed_events,199,935,4.698492462311558,287,1.4422110552763818,48,45,88,111,6,1,16,16,1,1,1,45,4,0,0,0,18,20,118,0,0,0,0,0,3,108,26,48,1,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,0,0,0,0,0,0,0,0,0,0,0,125,47,6,0,20,0,0,0,0,1,0,0,0,116,17,2,0,20,0,20,1,1,5,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,116,17,2,0,20,0,20,1,1,5,0,0,5,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,3,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,199,unlabeled
77,1778299603.757000,1778299613.757000,parsed_events,126,569,4.515873015873016,161,1.2777777777777777,23,23,36,90,4,1,12,12,1,1,1,25,4,0,0,0,21,0,83,0,0,0,0,0,0,84,12,23,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,96,22,7,0,0,0,0,0,1,0,0,0,0,87,11,0,0,0,0,0,1,1,5,0,0,0,6,0,5,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,87,11,0,0,0,0,0,1,1,5,0,0,0,6,0,5,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,126,unlabeled
78,1778299613.757000,1778299623.757000,parsed_events,444,1823,4.1058558558558556,456,1.027027027027027,23,23,373,71,6,1,12,12,1,1,1,24,3,0,0,0,84,0,62,0,6,0,0,0,0,56,6,23,330,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,444,0,0,0,0,0,0,0,0,0,0,0,393,20,28,0,0,2,0,0,1,0,0,0,0,61,3,335,0,0,0,0,1,0,5,15,12,0,0,0,0,0,0,0,0,6,0,2,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,3,335,0,0,0,0,1,0,5,15,12,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,444,unlabeled
79,1778299623.757000,1778299633.757000,parsed_events,482,2063,4.280082987551867,594,1.2323651452282158,91,91,320,144,14,7,15,14,2,3,1,93,9,71,116,0,117,9,179,0,0,0,0,0,0,128,85,91,0,39,0,51,12,10,30,7,18,0,3,3,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,464,3,3,3,3,3,3,0,0,0,0,0,247,84,39,87,0,5,0,18,2,0,0,0,0,120,28,0,91,39,126,0,19,21,5,0,0,0,0,0,0,6,18,0,0,0,1,0,0,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,28,0,91,39,126,0,19,21,5,0,0,0,0,0,0,6,18,0,0,1,0,0,0,1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,482,unlabeled
80,1778299633.757000,1778299643.757000,parsed_events,609,3012,4.945812807881773,1101,1.8078817733990147,76,76,493,116,8,1,21,21,1,1,1,79,4,0,0,0,18,20,122,0,0,0,0,0,0,110,403,76,0,6,11,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,609,0,0,0,0,0,0,0,0,0,0,0,507,76,6,0,20,0,0,0,0,0,0,0,0,116,382,0,0,35,0,22,8,7,7,0,0,0,6,0,5,0,0,0,5,0,3,2,1,1,0,0,1,2,0,2,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,116,382,0,0,35,0,22,8,7,7,0,0,0,6,0,5,0,0,0,5,0,0,1,0,3,2,1,0,0,1,2,0,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,609,unlabeled
